,industry,count
0,Information Technology and Services,1734
1,Computer Software,1376
2,Internet,1062
3,Marketing and Advertising,828
4,Education Management,822
5,Financial Services,779
6,Hospital & Health Care,497
7,Consumer Services,358
8,Telecommunications,342
9,Oil & Energy,287
10,Retail,223
11,Real Estate,175
12,Accounting,159
13,Construction,158
14,E-Learning,139
15,Management Consulting,130
16,Design,129
17,"Health, Wellness and Fitness",127
18,Staffing and Recruiting,127
19,Insurance,123
20,Automotive,120
21,Logistics and Supply Chain,112
22,Human Resources,108
23,Online Media,101
